timestamp,price,market_cap,volume_24h,circulating_supply,price_change_24h,bullish_sentiment,bearish_sentiment
2026-02-26 10:27:46,"$68,110.56",$1.36T,$54.84B,19.99M BTC,4.45% (24h),,
2026-02-26 10:29:28,"$67,996.75",$1.35T,$54.83B,19.99M BTC,4.3% (24h),,
2026-02-26 04:56:30,"$68,564.22",$1.37T,$55.7B,19.99M BTC,4.62% (24h),,
2026-02-26 05:53:51,"$68,305.10",$1.36T,$56.4B,19.99M BTC,4.38% (24h),,
2026-02-26 06:43:48,"$68,086.59",$1.36T,$56.39B,19.99M BTC,4.07% (24h),,
2026-02-26 07:32:24,"$68,173.20",$1.36T,$56.35B,19.99M BTC,3.68% (24h),,
2026-02-26 08:56:47,"$67,878.01",$1.35T,$54.61B,19.99M BTC,2.35% (24h),,
2026-02-26 09:53:25,"$67,346.70",$1.34T,$53.03B,19.99M BTC,0.83% (24h),,
2026-02-26 10:58:26,"$67,404.92",$1.34T,$53.89B,19.99M BTC,0.17% (24h),,
2026-02-26 12:10:02,"$66,909.41",$1.33T,$52.71B,19.99M BTC,2.03% (24h),,
2026-02-26 13:06:34,"$66,812.29",$1.33T,$50.8B,19.99M BTC,2.49% (24h),,
2026-02-26 14:10:11,"$67,529.66",$1.35T,$49.29B,19.99M BTC,2.29% (24h),,
2026-02-26 14:56:14,"$67,640.77",$1.35T,$48.79B,19.99M BTC,2.01% (24h),,
2026-02-26 15:43:48,"$67,473.94",$1.34T,$47.73B,19.99M BTC,2.39% (24h),,
2026-02-26 16:22:24,"$67,368.26",$1.34T,$47.48B,19.99M BTC,2.33% (24h),,
2026-02-26 16:58:01,"$67,462.43",$1.34T,$46.1B,19.99M BTC,2.26% (24h),,
2026-02-26 17:41:53,"$67,554.01",$1.35T,$45.3B,19.99M BTC,1.2% (24h),,
2026-02-26 18:18:25,"$67,468.92",$1.34T,$44.1B,19.99M BTC,1.49% (24h),,
2026-02-26 18:50:41,"$67,485.12",$1.34T,$43.06B,19.99M BTC,0.34% (24h),,
2026-02-26 20:00:04,"$67,228.79",$1.34T,$41.71B,19.99M BTC,1.64% (24h),,
2026-02-26 22:35:54,"$67,268.80",$1.34T,$40.98B,19.99M BTC,1.46% (24h),,
2026-02-27 00:06:49,"$67,836.57",$1.35T,$41.98B,19.99M BTC,0.83% (24h),,
2026-02-27 01:06:45,"$67,774.03",$1.35T,$41.49B,19.99M BTC,0.91% (24h),,
2026-02-27 02:13:09,"$67,686.73",$1.35T,$41.07B,19.99M BTC,0.8% (24h),,
2026-02-27 03:01:16,"$67,692.37",$1.35T,$41.26B,19.99M BTC,0.28% (24h),,
2026-02-27 03:56:47,"$67,987.13",$1.35T,$40.93B,19.99M BTC,0.08% (24h),N/A,N/A
